Title,Author,Genre,SubGenre
Rationality & Freedom,"Sen, Amartya",science,economics
Clash of Civilizations and Remaking of the World Order,"Huntington, Samuel",nonfiction,history
Uncommon Wisdom,"Capra, Fritjof",nonfiction,anthology
One,"Bach, Richard",nonfiction,autobiography
To Sir With Love,Braithwaite,fiction,classic
Half A Life,"Naipaul, V S",fiction,novel
"Discovery of India, The","Nehru, Jawaharlal",nonfiction,history
Apulki,"Deshpande, P L",nonfiction,misc
Unpopular Essays,"Russell, Bertrand",philosophy,philosophy
"Deceiver, The","Forsyth, Frederick",fiction,novel
Veil: Secret Wars of the CIA,"Woodward, Bob",nonfiction,history
Char Shabda,"Deshpande, P L",nonfiction,misc
Rosy is My Relative,"Durrell, Gerald",fiction,novel
"Moon and Sixpence, The","Maugham, William S",fiction,classic
"Short History of the World, A","Wells, H G",nonfiction,history
"Trembling of a Leaf, The","Maugham, William S",fiction,novel
Doctor on the Brain,"Gordon, Richard",fiction,novel
Simpsons & Their Mathematical Secrets,"Singh, Simon",science,mathematics
Pattern Classification,"Duda, Hart",tech,data_science
From Beirut to Jerusalem,"Friedman, Thomas",nonfiction,history
"Code Book, The","Singh, Simon",science,mathematics
"Age of the Warrior, The","Fisk, Robert",nonfiction,history
"Numbers Behind Numb3rs, The","Devlin, Keith",science,mathematics
"Life in Letters, A","Steinbeck, John",nonfiction,autobiography
"Information, The","Gleick, James",science,mathematics
Elements of Information Theory,"Thomas, Joy",tech,signal_processing
Power Electronics - Rashid,"Rashid, Muhammad",tech,computer_science
Power Electronics - Mohan,"Mohan, Ned",tech,computer_science
Neural Networks,"Haykin, Simon",tech,data_science
"Grapes of Wrath, The","Steinbeck, John",fiction,classic
Vyakti ani Valli,"Deshpande, P L",nonfiction,misc
Statistical Learning Theory,"Vapnik, Vladimir",tech,data_science
Empire of the Mughal - The Tainted Throne,"Rutherford, Alex",nonfiction,history
Empire of the Mughal - Brothers at War,"Rutherford, Alex",nonfiction,history
Empire of the Mughal - Ruler of the World,"Rutherford, Alex",nonfiction,history
Empire of the Mughal - The Serpent's Tooth,"Rutherford, Alex",nonfiction,history
Empire of the Mughal - Raiders from the North,"Rutherford, Alex",nonfiction,history
Mossad,"Baz-Zohar, Michael",nonfiction,history
Jim Corbett Omnibus,"Corbett, Jim",nonfiction,history
20000 Leagues Under the Sea,"Verne, Jules",fiction,novel
Batatyachi Chal,Deshpande P L,fiction,novel
Hafasavnuk,Deshpande P L,fiction,novel
Urlasurla,Deshpande P L,fiction,novel
Pointers in C,"Kanetkar, Yashwant",tech,computer_science
"Cathedral and the Bazaar, The","Raymond, Eric",tech,computer_science
Design with OpAmps,"Franco, Sergio",tech,computer_science
Think Complexity,"Downey, Allen",tech,data_science
"Devil's Advocate, The","West, Morris",fiction,novel
Ayn Rand Answers,"Rand, Ayn",philosophy,objectivism
Philosophy: Who Needs It,"Rand, Ayn",philosophy,objectivism
Data Analysis with Open Source Tools,"Janert, Phillip",tech,data_science
Broca's Brain,"Sagan, Carl",science,physics
Men of Mathematics,"Bell, E T",science,mathematics
Oxford book of Modern Science Writing,"Dawkins, Richard",science,science
"Justice, Judiciary and Democracy","Ranjan, Sudhanshu",nonfiction,legal
"Arthashastra, The",Kautiyla,philosophy,philosophy
We the People,Palkhivala,philosophy,philosophy
We the Nation,Palkhivala,philosophy,philosophy
"Courtroom Genius, The",Sorabjee,nonfiction,autobiography
Dongri to Dubai,"Zaidi, Hussain",nonfiction,history
"History of England, Foundation","Ackroyd, Peter",nonfiction,history
City of Djinns,"Dalrymple, William",nonfiction,history
India's Legal System,Nariman,nonfiction,legal
More Tears to Cry,"Sassoon, Jean",fiction,novel
"Ropemaker, The","Dickinson, Peter",fiction,novel
Angels & Demons,"Brown, Dan",fiction,novel
"Prince, The",Machiavelli,fiction,classic
Eyeless in Gaza,"Huxley, Aldous",fiction,novel
Tales of Beedle the Bard,"Rowling, J K",fiction,novel
Girl with the Dragon Tattoo,"Larsson, Steig",fiction,novel
Girl who kicked the Hornet's Nest,"Larsson, Steig",fiction,novel
Girl who played with Fire,"Larsson, Steig",fiction,novel
Structure and Randomness,"Tao, Terence",science,mathematics
Image Processing with MATLAB,"Eddins, Steve",tech,signal_processing
Animal Farm,"Orwell, George",fiction,classic
"Idiot, The","Dostoevsky, Fyodor",fiction,classic
"Christmas Carol, A","Dickens, Charles",fiction,classic
